provider_type,state,total_patients,medical_payment
Internal Medicine,MI,644,156472.16
Cardiology,OH,546,29755.9
Physician Assistant,IA,11,560.61
Nurse Practitioner,NC,37,10340.48
Certified Registered Nurse Anesthetist (CRNA),OH,167,17028.45
Psychiatry,MA,77,18408.36
Physician Assistant,LA,189,29705.26
Emergency Medicine,ID,396,49704.86
Physician Assistant,CA,78,229782
Family Practice,IA,357,79547.32
Emergency Medicine,MO,280,38341.35
Diagnostic Radiology,NY,612,58955.87
Physical Therapist in Private Practice,SC,32,57623.57
Nurse Practitioner,NE,102,26284.51
Anesthesiology Assistant,NM,63,6004.38
Nurse Practitioner,KY,92,7108.64
Orthopedic Surgery,IN,236,87675.99
Internal Medicine,AR,53,
Physical Therapist in Private Practice,FL,66,74455.16
Vascular Surgery,PA,335,38859.9
Nurse Practitioner,SC,44,
Family Practice,OH,181,33076.6
Psychiatry,CA,18,5425.07
Nurse Practitioner,NV,18,3083.42
Nurse Practitioner,FL,50,5687.05
Internal Medicine,MI,186,60524.99
Family Practice,CA,59,
Obstetrics & Gynecology,NY,172,
Nurse Practitioner,WA,60,
Podiatry,VA,77,
Certified Clinical Nurse Specialist,SC,77,37469.92
Internal Medicine,KS,644,355266.13
Physician Assistant,NY,125,10249.97
Licensed Clinical Social Worker,NJ,18,12811.29
Family Practice,OH,248,65150.82
Internal Medicine,CA,61,7524.37
Nurse Practitioner,IL,16,2291.21
Physician Assistant,OH,186,20964.9
Orthopedic Surgery,IL,306,80856.8
Certified Clinical Nurse Specialist,FL,51,26917.69
Anesthesiology,AZ,129,
General Surgery,NY,237,69299.7
Optometry,DE,110,15705.74
Dermatology,NY,253,61282.2
Physician Assistant,SC,158,75124.78
Gastroenterology,CA,337,128344.46
Pathology,TX,287,27398.25
Dermatology,MA,413,
Vascular Surgery,TX,236,368641.2
Physician Assistant,ME,28,2403.52
Hematology-Oncology,NJ,208,42195.7
Certified Registered Nurse Anesthetist (CRNA),TX,104,12486.1
Physical Medicine and Rehabilitation,MD,84,23967.49
Internal Medicine,OR,12,
Certified Registered Nurse Anesthetist (CRNA),TX,39,4127.81
General Surgery,IA,19,15599.1
Nurse Practitioner,IN,285,31101.2
Emergency Medicine,TX,49,6462.53
Physician Assistant,PA,85,16318.26
Anesthesiology,MA,179,40920.73
Ophthalmology,OH,454,89364.63
Physician Assistant,SC,149,14747.23
Optometry,TX,11,920.98
Nurse Practitioner,VT,116,18869.21
Allergy/ Immunology,MA,379,312099.54
Certified Registered Nurse Anesthetist (CRNA),MS,78,14767.78
Physician Assistant,MI,88,10797.04
Diagnostic Radiology,MI,647,
Obstetrics & Gynecology,MI,21,2341.34
Dermatology,WA,271,
Orthopedic Surgery,OR,20,12491.14
Nurse Practitioner,NY,81,7412.24
Physician Assistant,IL,17,
Physician Assistant,TN,15,606.47
Physical Therapist in Private Practice,CA,181,56468.81
Physical Therapist in Private Practice,OH,93,25758.71
Hospitalist,FL,746,236967.44
Diagnostic Radiology,CA,2916,155222.5
Physical Therapist in Private Practice,WY,39,21678.33
Nurse Practitioner,MO,58,9139.67
Physician Assistant,TX,62,8325.48
Radiation Oncology,IL,67,29925.99
Nurse Practitioner,OH,79,
Family Practice,OH,111,21271.25
Physician Assistant,NY,14,1178.92
Anesthesiology,MO,436,38307.66
Dermatology,CA,429,153356.84
Internal Medicine,PA,433,73203.01
Internal Medicine,TN,434,157835.65
Licensed Clinical Social Worker,OH,22,12666.17
Internal Medicine,CA,147,101298.11
Chiropractic,FL,100,21563.3
Occupational Therapist in Private Practice,OH,21,35346.26
Nurse Practitioner,CA,296,62332.25
"Psychologist, Clinical",NJ,14,34259.14
Nurse Practitioner,NJ,63,10368.38
Chiropractic,KY,35,6870.62
Optometry,IN,330,34041.58
Nurse Practitioner,PA,86,14155.6
Emergency Medicine,WY,279,37093.08
Family Practice,PA,36,6761.24
Family Practice,CA,181,16638.63
Optometry,MI,909,145323.36
Physical Therapist in Private Practice,SC,43,7672.39
Gastroenterology,NJ,378,
Gastroenterology,CA,666,
Family Practice,FL,135,20259.38
Ophthalmology,MI,959,417609.87
Gastroenterology,TX,380,68379.86
Nurse Practitioner,IL,239,121130.83
Physician Assistant,SC,215,16774.41
Internal Medicine,NY,791,250390.29
Audiologist,NE,59,2190.68
Family Practice,OR,382,108836.89
Cardiology,TX,376,134111.64
General Practice,HI,247,80725.05
Chiropractic,ME,12,2627.07
Nephrology,CA,602,
Certified Registered Nurse Anesthetist (CRNA),FL,165,21857.52
Nurse Practitioner,TX,31,
Nurse Practitioner,NY,63,4211.9
Hospitalist,PA,277,
Physical Therapist in Private Practice,NJ,85,70923.92
Neurology,MN,63,10109.4
Obstetrics & Gynecology,CA,94,
Emergency Medicine,ME,86,11529.58
Nurse Practitioner,NY,225,26157.52
Pediatric Medicine,MA,12,937.5
Nurse Practitioner,NJ,401,141938.67
Chiropractic,FL,40,4836.46
Diagnostic Radiology,MA,934,68140.57
Diagnostic Radiology,UT,790,41427.26
Interventional Cardiology,NY,585,188834.28
Audiologist,WA,86,2784.89
Physician Assistant,AZ,122,
Internal Medicine,HI,109,17881.72
Family Practice,LA,1680,465521.14
Family Practice,AK,81,16466.39
Nurse Practitioner,NY,17,6105.54
Nurse Practitioner,NY,99,
Obstetrics & Gynecology,WA,27,4461.46
Certified Registered Nurse Anesthetist (CRNA),MI,18,2025.05
Anesthesiology,MN,26,6176.07
Orthopedic Surgery,SC,250,109493.28
Nurse Practitioner,TX,197,71415.71
Anesthesiology,CA,164,28180.23
Internal Medicine,WA,191,141881.37
Physical Therapist in Private Practice,FL,124,24905.82
Physician Assistant,FL,343,57641.89
"Psychologist, Clinical",NY,84,21679.49
Radiation Oncology,MN,49,27503.05
Nurse Practitioner,WV,52,30151.44
Physician Assistant,SC,188,79032.23
Physician Assistant,OK,79,9245.01
Anesthesiology,WV,11,1123.95
Podiatry,CA,477,297723.39
Physical Therapist in Private Practice,FL,18,23176.35
Pain Management,GA,23,16391.47
Certified Registered Nurse Anesthetist (CRNA),NE,192,21697.17
Physician Assistant,MD,102,8608.19
Podiatry,LA,96,
Nurse Practitioner,NC,143,12342.21
Chiropractic,KS,29,5939.55
Obstetrics & Gynecology,NY,261,33377.67
Licensed Clinical Social Worker,FL,16,10579.47
Nurse Practitioner,IN,90,7611.51
Occupational Therapist in Private Practice,NY,42,47445.17
Physician Assistant,CA,26,6595.2
Gastroenterology,MO,363,76123.67
Nephrology,AR,471,
Physical Therapist in Private Practice,CO,37,12571.23
Optometry,TX,21,1335.01
Nurse Practitioner,NH,233,14906.57
Nurse Practitioner,IL,314,58070.54
Dermatology,KY,714,
Optometry,PA,118,12881.19
Internal Medicine,MD,135,33101.2
Neurology,RI,127,
Physician Assistant,OH,112,16120.25
Nurse Practitioner,NY,62,
Family Practice,IA,113,38531.44
Physical Therapist in Private Practice,NE,68,84524.1
General Surgery,TX,68,37413.3
Family Practice,TX,12,
Nurse Practitioner,IL,185,16579.28
Physician Assistant,WI,39,2221.56
Nurse Practitioner,NC,85,7322.64
Critical Care (Intensivists),GA,283,114416.05
Certified Registered Nurse Anesthetist (CRNA),FL,134,12167.56
Neurology,IA,355,43273.48
Speech Language Pathologist,MS,12,5909.06
Nurse Practitioner,PA,27,6583.64
Internal Medicine,MI,94,19352.07
Critical Care (Intensivists),FL,228,55565.74
Family Practice,NC,513,141345.43
Physician Assistant,IL,20,1721.9
Nurse Practitioner,MN,27,
Otolaryngology,NJ,1459,307850.87
Registered Dietitian or Nutrition Professional,NJ,125,17737.33
Nurse Practitioner,WI,42,6721.64
Chiropractic,MI,22,6282.47
Physical Therapist in Private Practice,MD,39,25078.11
Internal Medicine,SC,322,56376.07
Family Practice,TX,254,77766.87
Licensed Clinical Social Worker,CA,12,13880
Nurse Practitioner,MI,145,7341.4
Nurse Practitioner,FL,26,12301.8
Physician Assistant,NC,11,
Anesthesiology,NY,134,38883.03
Psychiatry,NJ,130,31939.66
Nephrology,IL,819,290863.97
Nurse Practitioner,CA,11,933.53
Nurse Practitioner,FL,302,60932.39
Physician Assistant,WA,32,4303.58
Physician Assistant,TX,573,75027.03
Physical Therapist in Private Practice,WA,17,12184.03
Chiropractic,AZ,110,20115.69
Physical Therapist in Private Practice,TN,21,8562.71
Physical Therapist in Private Practice,MI,75,40215.83
Physical Therapist in Private Practice,IL,68,14951.57
Optometry,OK,91,9908.13
Internal Medicine,PA,305,86583.15
Certified Registered Nurse Anesthetist (CRNA),OH,73,6732.03
Chiropractic,OR,219,67712.56
Physician Assistant,AK,48,
Gastroenterology,KS,538,89475.07
Psychiatry,NJ,137,128579.72
Family Practice,WA,221,45705.77
Physical Therapist in Private Practice,MN,16,1417.69
Internal Medicine,NC,245,48644.09
Hospitalist,HI,117,34557.85
Nurse Practitioner,LA,176,
Nurse Practitioner,NJ,319,34629.2
Neurology,OH,28,2117.89
Internal Medicine,TN,417,151946.8
Nurse Practitioner,UT,120,35243.32
Occupational Therapist in Private Practice,MN,11,10021.98
Emergency Medicine,CA,676,98636.32
Nurse Practitioner,PA,11,6386.45
Physician Assistant,NY,141,13977.45
Orthopedic Surgery,VT,297,74709.47
Internal Medicine,VA,538,103775.77
Family Practice,MN,50,
Hospitalist,MO,43,11529.51
Emergency Medicine,NC,27,3337
Psychiatry,MI,42,7447.98
Orthopedic Surgery,NY,245,300850.25
Psychiatry,NC,188,71202.61
Nurse Practitioner,KY,76,17099.07
Orthopedic Surgery,FL,186,47086.04
Nephrology,NY,611,138194.33
Emergency Medicine,OH,445,60353.97
Physical Therapist in Private Practice,PA,55,38894.06
Internal Medicine,NY,161,35633.81
Physician Assistant,NC,405,296735.45
Internal Medicine,MI,211,104984.43
Nurse Practitioner,PA,173,17901
Certified Registered Nurse Anesthetist (CRNA),FL,82,13292.86
Psychiatry,CA,14,2539.9
Family Practice,WI,56,4248.78
Internal Medicine,MI,172,
Physical Therapist in Private Practice,MA,32,8637.78
Dermatology,WA,930,
Physician Assistant,PA,419,43993.29
Internal Medicine,NJ,239,54842.93
Physician Assistant,WI,114,
Thoracic Surgery,NJ,101,59871.32
Diagnostic Radiology,NC,1517,18963.2
Optometry,NC,372,39409.61
Anesthesiology,CA,22,3047.79
Nurse Practitioner,MS,83,6282.45
Obstetrics & Gynecology,PA,81,6476.74
"Psychologist, Clinical",IA,18,5039.61
Optometry,PA,340,128110.07
Emergency Medicine,OK,403,53584.98
Obstetrics & Gynecology,TX,34,3448.84
Emergency Medicine,FL,441,67875.7
"Psychologist, Clinical",FL,61,43197.77
Nurse Practitioner,FL,100,15678.38
Emergency Medicine,MI,143,20621.24
Nurse Practitioner,OR,55,2906.21
Physician Assistant,MN,309,21022.59
Internal Medicine,CO,43,6911.98
Physical Therapist in Private Practice,CA,157,130971.47
Occupational Therapist in Private Practice,NY,15,10071.34
Neurology,SC,251,
Nurse Practitioner,OK,12,692.92
Certified Registered Nurse Anesthetist (CRNA),TN,70,15106.81
Infectious Disease,GA,262,
Licensed Clinical Social Worker,ME,17,21833.56
Internal Medicine,CA,513,438763.92
Obstetrics & Gynecology,MD,58,8947.12
Emergency Medicine,LA,245,39418.72
Optometry,CA,248,25741.79
Physical Therapist in Private Practice,TX,106,217740.6
Nurse Practitioner,WA,82,
Family Practice,MI,127,18384.27
Rheumatology,OH,142,
Physician Assistant,NC,44,8190.69
Nurse Practitioner,PA,233,51514.27
Speech Language Pathologist,NJ,40,69563.93
Anesthesiology,AZ,127,16724.05
Orthopedic Surgery,IA,400,170477
Hematology-Oncology,PA,375,125960.42
Certified Registered Nurse Anesthetist (CRNA),TN,223,23608.38
Nurse Practitioner,GA,143,33005
Internal Medicine,CA,24,2763.6
Physical Therapist in Private Practice,MA,49,30170.51
Licensed Clinical Social Worker,ID,13,5332.12
Physical Therapist in Private Practice,NY,29,7673.37
Certified Registered Nurse Anesthetist (CRNA),WI,97,9739.72
Ophthalmology,VA,20,2124.36
Nurse Practitioner,IN,28,3219.02
Occupational Therapist in Private Practice,NY,43,48726.69
Obstetrics & Gynecology,NJ,56,11427.66
Orthopedic Surgery,WA,27,3011.46
Geriatric Medicine,NE,356,42481.42
Psychiatry,WI,36,12866.92
Medical Oncology,MN,187,38628.1
Internal Medicine,DE,375,115387.33
Certified Registered Nurse Anesthetist (CRNA),FL,15,2653.33
Nurse Practitioner,MN,21,1708.31
Diagnostic Radiology,KY,244,6769.65
Urology,NY,622,382331.55
Emergency Medicine,OR,311,36364.51
Diagnostic Radiology,NC,11,303.75
Occupational Therapist in Private Practice,CA,86,45552.52
Infectious Disease,CA,76,16387.05
Physical Therapist in Private Practice,CT,102,46427.32
Internal Medicine,NY,58,
Optometry,DE,2474,428469.95
Physician Assistant,VT,314,
Emergency Medicine,ME,25,3400.22
Psychiatry,FL,49,26691.61
Nurse Practitioner,TX,15,980.41
Hematology-Oncology,MD,42,9148.36
Physician Assistant,OR,29,
Physician Assistant,NH,43,931.62
Neurosurgery,MO,171,159933.36
Gastroenterology,NY,201,33789.45
Family Practice,CA,281,110454.95
Emergency Medicine,PA,184,24673.66
Clinical Cardiac Electrophysiology,CA,337,90073.43
Physician Assistant,PA,304,32205.91
Chiropractic,MN,48,15999.29
Internal Medicine,RI,44,4911.32
Nurse Practitioner,NJ,44,3632.98
Endocrinology,CA,645,138614.67
Family Practice,WA,20,
Pathology,TX,247,26040.69
Physical Therapist in Private Practice,WA,33,11798.28
Plastic and Reconstructive Surgery,RI,115,46045.26
Gastroenterology,MN,79,
Chiropractic,NY,67,23081.23
Gastroenterology,NY,614,
Certified Registered Nurse Anesthetist (CRNA),WV,57,9310.47
Chiropractic,IL,58,19761.03
Certified Registered Nurse Anesthetist (CRNA),MS,46,3905.96
Family Practice,PA,79,17368.58
Diagnostic Radiology,LA,2448,68862.84
Physician Assistant,WI,170,29430.53
Internal Medicine,NC,250,114905.6
Emergency Medicine,NY,302,44462.64
Family Practice,NY,85,8383.1
Nurse Practitioner,CA,120,
Diagnostic Radiology,CA,3214,153669.05
Diagnostic Radiology,MA,53,2482.78
Gastroenterology,MO,398,110770.75
Nurse Practitioner,OH,428,82053.25
Family Practice,MA,317,83152.73
Internal Medicine,TX,89,58210.69
Pathology,CA,811,126300.17
Physical Therapist in Private Practice,OH,53,27649.02
Internal Medicine,AL,65,
Family Practice,AR,449,140632.29
Psychiatry,MA,14,2859.29
Physician Assistant,MA,284,28419.79
Critical Care (Intensivists),MO,100,14978.13
Nurse Practitioner,GA,203,280759.38
Physician Assistant,ID,96,1368.08
Internal Medicine,NY,148,47182.1
Nurse Practitioner,NC,252,37671.97
Licensed Clinical Social Worker,MN,13,4295.49
Family Practice,CA,13,304.8
Pathology,CA,696,63616.22
Emergency Medicine,NY,579,80697.14
Physician Assistant,UT,110,11655.76
Occupational Therapist in Private Practice,CA,43,17481.44
Family Practice,MN,20,2697
Physical Therapist in Private Practice,WI,30,8135.93
Neurology,WI,77,14640.84
Diagnostic Radiology,MN,1744,98386.11
Family Practice,MO,558,115151.28
Audiologist,MN,95,3321.59
Nurse Practitioner,IN,224,16539.57
Family Practice,NC,205,29354.33
Dermatology,MI,811,520527.24
Nurse Practitioner,MD,60,46346.24
Family Practice,KS,279,56937.44
Chiropractic,SC,44,14377.19
Optometry,AZ,112,8578.8
Physician Assistant,SC,324,48466.02
Chiropractic,GA,19,2518.46
Ophthalmology,FL,79,
Certified Registered Nurse Anesthetist (CRNA),TX,217,31719.61
Orthopedic Surgery,IL,165,64169.62
Nurse Practitioner,ME,111,11719.31
Optometry,NC,34,4301.83
Physician Assistant,CA,29,1371.23
Cardiology,TX,412,739970.52
Neurosurgery,KY,207,113863.96
Endocrinology,TX,268,39494.21
Diagnostic Radiology,MO,59,2977.3
Anesthesiology,IL,545,57663.41
Nurse Practitioner,KY,63,3622.68
Anesthesiology,NE,56,14498.91
General Surgery,ME,35,19203.44
Physician Assistant,FL,762,76346.74
Diagnostic Radiology,NY,3072,
Medical Oncology,TN,214,54600.63
Occupational Therapist in Private Practice,OK,25,10226.53
Internal Medicine,OH,80,10088.57
Infectious Disease,WA,186,49697.7
Nurse Practitioner,IA,91,25771.75
Anesthesiology,NJ,186,27759.19
Pulmonary Disease,OH,281,84578.82
Gastroenterology,MN,249,48079.89
Anesthesiology,PA,58,10268.58
Licensed Clinical Social Worker,IA,16,8574.91
Anesthesiology,MD,56,13949.51
Family Practice,NC,93,23305.53
Family Practice,PA,30,498.01
Hospitalist,NY,82,16380.45
Nurse Practitioner,CA,137,15382.53
Physician Assistant,MI,35,4021.58
Certified Registered Nurse Anesthetist (CRNA),LA,89,21444.59
Nurse Practitioner,PA,144,23303.48
Physical Therapist in Private Practice,NJ,62,36471.9
Obstetrics & Gynecology,CA,42,6885.4
Medical Oncology,TX,255,133986.98
Certified Registered Nurse Anesthetist (CRNA),MI,33,8911.85
Chiropractic,FL,20,933.49
Radiation Oncology,DC,185,181117.08
Family Practice,OH,80,11837.61
Anesthesiology,CA,66,12341.82
Obstetrics & Gynecology,OH,48,4076.29
Nurse Practitioner,WI,56,5357.85
Physical Therapist in Private Practice,MA,72,35517.37
Pathology,NC,379,31091.61
Cardiology,GA,273,149058.96
Nurse Practitioner,MN,42,18375.91
Nurse Practitioner,MN,114,10047.79
Physician Assistant,OR,36,2952.02
Internal Medicine,VA,130,15867.05
Hematology-Oncology,CA,52,30259.31
Family Practice,OK,162,
Cardiology,CT,678,110274.03
Certified Registered Nurse Anesthetist (CRNA),KY,246,26298.52
Certified Registered Nurse Anesthetist (CRNA),NC,623,64508.47
Family Practice,IN,121,20123.01
Anesthesiology,PA,175,64251.99
Nephrology,NY,337,164280.55
Neurology,TX,106,15960.83
Gynecological Oncology,LA,150,55206.36
Nurse Practitioner,CA,168,9105.97
Registered Dietitian or Nutrition Professional,TX,11,1670.32
Optometry,CA,38,6693.93
Optometry,PA,188,21271.35
Certified Registered Nurse Anesthetist (CRNA),SC,70,6161.61
Neurosurgery,OR,295,129589.99
Certified Registered Nurse Anesthetist (CRNA),TN,13,1431.67
Gastroenterology,NY,50,14600.36
Anesthesiology,MA,13,1007.91
Optometry,OH,67,8298.39
Physician Assistant,GA,28,2520.14
Family Practice,MI,82,22939.79
Thoracic Surgery,KS,118,28211.81
Sleep Medicine,NY,233,43079.83
Hospice and Palliative Care,MI,110,24702.56
Psychiatry,RI,35,14970.17
Emergency Medicine,MA,256,27654.34
Pathology,TX,107,9154.41
Nurse Practitioner,MI,51,12019.78
Family Practice,MN,221,37378.7
Orthopedic Surgery,WI,342,106034.27
Optometry,OH,40,3895.18
Physical Therapist in Private Practice,CO,79,60649.65
Internal Medicine,WI,233,76219.31
Nurse Practitioner,MO,495,
Physician Assistant,WI,92,7168.7
Anesthesiology,OH,151,19596.35
Physician Assistant,CO,14,
Certified Registered Nurse Anesthetist (CRNA),KS,55,9226.83
Internal Medicine,TX,22,1839.27
Podiatry,NC,770,127230.15
Urology,PA,333,
Physician Assistant,IA,216,
Physician Assistant,UT,298,
Radiation Oncology,ID,51,38613.18
Physician Assistant,FL,405,49121.66
Obstetrics & Gynecology,CO,31,4340.78
Internal Medicine,WI,80,14095.41
Nurse Practitioner,IL,245,
Certified Registered Nurse Anesthetist (CRNA),MI,52,6173.9
Otolaryngology,IL,391,86590.4
Internal Medicine,FL,112,21746.4
Anesthesiology,NY,230,46615.2
Emergency Medicine,PA,505,62300.21
Certified Registered Nurse Anesthetist (CRNA),UT,72,10328.38
Internal Medicine,CO,291,71684.63
"Psychologist, Clinical",IL,61,20106.72
Family Practice,SC,198,78395.62
Certified Registered Nurse Anesthetist (CRNA),FL,245,32478.11
Nephrology,PA,304,93866.86
Physical Therapist in Private Practice,KS,196,105369.74
Internal Medicine,ID,386,94588.12
Optometry,TX,123,15353.07
General Surgery,NY,56,13344.82
Orthopedic Surgery,GA,54,
Physician Assistant,TX,88,29483.96
Chiropractic,NC,30,4048.58
Physician Assistant,MT,32,1842.62
Plastic and Reconstructive Surgery,MO,50,13581.94
Nurse Practitioner,NY,29,1850.85
Nurse Practitioner,IN,32,9415.3
Family Practice,LA,367,151601.79
Nurse Practitioner,MA,168,60859.92
Allergy/ Immunology,NC,174,
Nurse Practitioner,MI,30,2793.27
Chiropractic,ND,57,5760.78
Urology,TN,215,
Ophthalmology,PA,364,86739.08
Certified Registered Nurse Anesthetist (CRNA),TX,180,15256.05
Registered Dietitian or Nutrition Professional,MD,80,14935.14
Neurology,TX,186,35461.47
Nurse Practitioner,KY,82,16244.87
Physician Assistant,MI,134,17427.43
Podiatry,KS,265,57368.68
Nurse Practitioner,OK,16,2324.15
Cardiology,VA,766,30588.39
Psychiatry,MA,32,4996.14
Internal Medicine,WV,84,17785.27
Anesthesiology,MA,221,37865.72
Anesthesiology,GA,100,18443.8
Podiatry,CA,507,223561.44
Emergency Medicine,NC,613,92277.45
Radiation Oncology,IN,169,82205.44
Anesthesiology,OH,458,34530.46
Internal Medicine,MI,84,51605.36
Chiropractic,OH,34,9443.58
Gastroenterology,NC,178,25548.62
Chiropractic,PA,15,3999.5
Family Practice,TX,257,
Nurse Practitioner,MA,39,
Physician Assistant,TX,192,28455.12
Family Practice,MA,71,20903.33
Psychiatry,IL,39,18362.24
Emergency Medicine,OH,154,20551.83
Obstetrics & Gynecology,CA,31,2474
Emergency Medicine,MN,240,33112.59
Diagnostic Radiology,MA,2432,96001.2
Internal Medicine,MI,18,1572.76
Hospitalist,CA,52,5471.7
Pulmonary Disease,PR,98,35426.37
Orthopedic Surgery,NY,793,344113.59
Internal Medicine,AZ,132,31372.73
Certified Registered Nurse Anesthetist (CRNA),SD,174,16490.39
Endocrinology,NY,327,63274.66
Vascular Surgery,NC,19,6905.24
Physical Therapist in Private Practice,VA,215,69632.1
Physician Assistant,NY,232,28039.06
Obstetrics & Gynecology,OH,123,18793.7
Nurse Practitioner,FL,115,19504.7
Optometry,UT,182,18508.21
Internal Medicine,FL,243,
Colorectal Surgery (Proctology),NY,78,27683.59
Internal Medicine,MD,143,30085.45
Anesthesiology,RI,234,48990.98
Anesthesiology,UT,110,22848.99
Audiologist,CA,698,33527.7
Nurse Practitioner,IL,37,
Internal Medicine,ME,392,119579.31
Anesthesiology,NE,308,31974.26
Nurse Practitioner,GA,23,9424.07
Physician Assistant,MI,43,12306.28
Family Practice,TX,334,100187.71
Physician Assistant,CA,141,15004.14
Gastroenterology,LA,112,22981.58
Nurse Practitioner,IA,521,110275.86
Diagnostic Radiology,VA,160,3721.07
Gastroenterology,OH,299,61577.03
Physician Assistant,WI,76,6339.29
Family Practice,NC,325,44663.74
Physician Assistant,CA,613,173908.71
Certified Registered Nurse Anesthetist (CRNA),MD,131,18534.17
Physician Assistant,FL,554,159038.69
Dermatology,VA,216,72219.7
Podiatry,MA,81,2817.49
Emergency Medicine,TX,14,1116.6
Chiropractic,CA,42,3762.93
Internal Medicine,OH,1628,645989.32
Nephrology,NY,309,133498.25
Internal Medicine,MA,92,17537.71
Audiologist,NC,54,4306.12
Certified Registered Nurse Anesthetist (CRNA),MS,61,5152.65
Internal Medicine,GA,16,
Nurse Practitioner,CO,61,4895.24
Anesthesiology,AZ,100,13513.02
Family Practice,KS,24,2764.36
Optometry,MA,49,3589.25
Nurse Practitioner,MO,207,20855.62
Urology,CA,1601,482606.23
Internal Medicine,IL,96,13215.97
Nurse Practitioner,CO,46,5632.85
Anesthesiology,CA,301,59545.9
Emergency Medicine,FL,140,
Nurse Practitioner,NM,69,6412.75
Plastic and Reconstructive Surgery,CA,55,61262.4
Nurse Practitioner,VA,237,51145.12
Ophthalmology,WA,856,272361.19
Nurse Practitioner,IL,158,29256.41
Certified Registered Nurse Anesthetist (CRNA),PA,40,3361.76
Family Practice,CA,11,
Podiatry,FL,19,
Psychiatry,GA,28,7020.37
Diagnostic Radiology,OR,1500,71918.35
Urology,CA,77,
Internal Medicine,MS,256,65934.59
Physician Assistant,CO,17,1312.53
Hematology-Oncology,AR,240,
Gastroenterology,TX,181,
Licensed Professional Counselor,AL,12,2821.02
Family Practice,NY,137,22141.42
Ophthalmology,KY,1035,210040.88
Internal Medicine,KS,15,984.48
Hematology-Oncology,OR,405,156252.97
Pathology,TN,781,319645.7
Physical Therapist in Private Practice,CT,16,11091.95
Physician Assistant,CA,79,4510.34
Optometry,KS,75,7256.92
Physician Assistant,GA,251,26018.44
Anesthesiology,IA,136,40796.18
Chiropractic,KY,33,6298.76
Nurse Practitioner,IN,500,106064.09
Anesthesiology,AZ,46,9546.79
Family Practice,NC,269,79810.82
Nurse Practitioner,TX,144,12883.02
Nurse Practitioner,TX,118,10505.76
Physical Therapist in Private Practice,CA,70,64493.53
Family Practice,WI,56,18946.6
Nurse Practitioner,NY,320,33785.94
Certified Registered Nurse Anesthetist (CRNA),CT,47,4135.6
Physician Assistant,VA,20,2195.98
Physician Assistant,CO,45,
General Surgery,LA,100,25781.8
Family Practice,AL,283,204058.24
Nurse Practitioner,MI,351,184012.15
Physician Assistant,IL,101,11799.99
Family Practice,CA,17,
Hand Surgery,IN,276,83286.41
Allergy/ Immunology,NY,51,17270.42
Family Practice,WA,90,28040.34
Certified Registered Nurse Anesthetist (CRNA),OH,145,23750.37
Nurse Practitioner,IA,12,
Nurse Practitioner,MO,185,
Hospitalist,NC,174,18824.51
Physical Medicine and Rehabilitation,GA,611,257003.38
Dermatology,FL,393,195008.22
Emergency Medicine,CA,260,35952.78
Certified Registered Nurse Anesthetist (CRNA),AL,124,15002.91
General Surgery,PA,88,47197.22
Radiation Oncology,MA,317,217316.99
Nurse Practitioner,KS,144,10089.18
Cardiology,NY,23,2303.69
Ophthalmology,VA,1012,387942.47
Nurse Practitioner,KS,117,10773.06
Gastroenterology,RI,680,
Gastroenterology,OH,72,12778.92
Radiation Oncology,IA,311,267133.33
Nurse Practitioner,TX,22,2339.1
Certified Registered Nurse Anesthetist (CRNA),IN,190,25784.71
Internal Medicine,GA,179,31278.66
Internal Medicine,CA,488,128707.72
Physician Assistant,VA,39,3464.14
Licensed Clinical Social Worker,IL,25,24694.75
Physician Assistant,CT,219,
Chiropractic,NC,11,2867.37
Physical Therapist in Private Practice,NV,72,35689.66
Optometry,WI,115,11635.34
Critical Care (Intensivists),NC,57,13563.9
Orthopedic Surgery,KS,362,290105.4
Neurology,MD,23,3333.68
Physical Therapist in Private Practice,MN,16,2047.94
Internal Medicine,RI,307,
"Psychologist, Clinical",NY,35,15419.67
Podiatry,KY,343,66306.07
Nurse Practitioner,NJ,512,64121.61
Nurse Practitioner,NH,215,41994.11
Nurse Practitioner,IL,28,13118.54
Certified Registered Nurse Anesthetist (CRNA),GA,494,44640.5
Family Practice,WV,134,
Nurse Practitioner,NC,23,2684.74
Obstetrics & Gynecology,TX,53,11940.07
Registered Dietitian or Nutrition Professional,TX,12,1076.92
Nurse Practitioner,OH,154,50501.58
Infectious Disease,IL,218,79356.71
Physician Assistant,OR,94,5511.72
Podiatry,NJ,352,334277.45
Obstetrics & Gynecology,TN,40,5237.2
Emergency Medicine,NC,121,16321.94
"Psychologist, Clinical",FL,25,56849.53
Physician Assistant,OK,107,
Gynecological Oncology,TX,109,46689.29
Family Practice,CA,245,57065.32
Physician Assistant,IL,12,
"Psychologist, Clinical",NV,14,10444.1
Family Practice,SC,25,
Diagnostic Radiology,VA,2845,114567.1
Internal Medicine,PA,49,8064.84
Family Practice,OR,54,15063.5
Nurse Practitioner,AR,12,20970.61
Internal Medicine,AZ,14,2314.37
Physical Therapist in Private Practice,FL,26,12046.97
Nurse Practitioner,NH,278,53969.77
Nurse Practitioner,DC,12,1096.08
Cardiology,NM,1288,138242.39
Anesthesiology,NY,98,17408.82
Anesthesiology,FL,12,1770.36
Hospitalist,MA,598,78784.83
Physical Therapist in Private Practice,CA,211,112207.89
Dermatology,MO,256,76591.5
Physician Assistant,NY,252,
